l2,n_rows,share
Отметки высот,3226,0.129
Выноски,2827,0.113
Условные обозначения,2610,0.1043
Проверить,2491,0.0996
Прочее,1771,0.0708
Уличная мебель,1300,0.052
Неизвестно,841,0.0336
Деревья,796,0.0318
Бортовые камни,716,0.0286
Размеры,706,0.0282
Колодцы,703,0.0281
Игровое оборудование,628,0.0251
Кустарники,496,0.0198
Спортивное оборудование,473,0.0189
Плитка,441,0.0176
Контуры,413,0.0165
Павильоны,369,0.0148
Штамп,328,0.0131
Газон,302,0.0121
Границы,291,0.0116
Кадастр,275,0.011
Цветники,272,0.0109
Асфальт,261,0.0104
Информационные конструкции,256,0.0102
Столбы и опоры,161,0.0064
Ограждения,159,0.0064
Дорожная разметка,148,0.0059
Резиновая крошка,128,0.0051
КДО,114,0.0046
Лестницы и пандусы,105,0.0042
Инженерная инфраструктура,105,0.0042
Автоименованные блоки,92,0.0037
Ливневая канализация,77,0.0031
Координаты,77,0.0031
Деревянные настилы,75,0.003
Подпорные стенки,67,0.0027
Тактильная плитка,64,0.0026
Памятники,63,0.0025
Гранитный отсев,58,0.0023
Оси,53,0.0021
Откосы,41,0.0016
Мульча,41,0.0016
Нумерация,39,0.0016
Песок,35,0.0014
Газонная решетка,34,0.0014
Электроснабжение,31,0.0012
Флагштоки,28,0.0011
Бетон,28,0.0011
Брусчатка,28,0.0011
Зоны Прочее,24,0.001
Канализация бытовая,23,0.0009
Каменный ковер,22,0.0009
Щебень,21,0.0008
Галька,17,0.0007
Отскос,17,0.0007
Грунт,16,0.0006
Вазоны,16,0.0006
Щепа,15,0.0006
Дорожка из плит,14,0.0006
Металлические настилы,13,0.0005
Мосты,13,0.0005
Гравий,13,0.0005
Водопровод,11,0.0004
Зоны ОКН,11,0.0004
Пирс,11,0.0004
Ворота,8,0.0003
Горизонтали,8,0.0003
ЛЭП,8,0.0003
Теплосеть,8,0.0003
Калитка,7,0.0003
Камень,6,0.0002
Газоснабжение,6,0.0002
Зоны СЗЗ,6,0.0002
Геомат,5,0.0002
Дренажная призма,4,0.0002
Гранит,4,0.0002
Динамические блоки,4,0.0002
ПГС,4,0.0002
Красные линии,4,0.0002
Газон искусственный,4,0.0002
Архитектурный бетон,4,0.0002
ИДН,3,0.0001
Сети связи,3,0.0001
ОПГС,3,0.0001
Шлагбаумы,2,0.0001
Памятник,2,0.0001
Кирпич,2,0.0001
Дорожка из бруса,2,0.0001
Дорожные знаки,2,0.0001
Кабель Связи,1,0.0
ЖД пути,1,0.0
Прочие трубопроводы,1,0.0
Подземные,1,0.0
