l1,l2,n_rows
Рельеф,Отметки высот,3226
Служебные элементы,Выноски,2811
Служебные элементы,Условные обозначения,2610
МАФ,Проверить,2335
Служебные элементы,Прочее,1758
МАФ,Уличная мебель,1300
Озеленение,Деревья,796
Элементы благоустройства,Бортовые камни,716
Служебные элементы,Размеры,706
Неизвестно,Неизвестно,629
МАФ,Игровое оборудование,628
Элементы благоустройства,Колодцы,548
Озеленение,Кустарники,496
МАФ,Спортивное оборудование,473
Твердые покрытия,Плитка,441
Служебные элементы,Контуры,413
МАФ,Павильоны,369
Служебные элементы,Штамп,328
Озеленение,Газон,302
Служебные элементы,Границы,291
Служебные элементы,Кадастр,275
Озеленение,Цветники,272
Твердые покрытия,Асфальт,261
МАФ,Информационные конструкции,256
Инженерные сети,Столбы и опоры,161
МАФ,Ограждения,159
Озеленение,Проверить,156
Здания и сооружения,Неизвестно,156
Служебные элементы,Колодцы,155
Элементы благоустройства,Дорожная разметка,148
Твердые покрытия,Резиновая крошка,128
Служебные элементы,КДО,114
Инженерные сети,Инженерная инфраструктура,105
Здания и сооружения,Лестницы и пандусы,105
Служебные элементы,Автоименованные блоки,92
Служебные элементы,Координаты,77
Инженерные сети,Ливневая канализация,77
Водопроницаемые покрытия,Деревянные настилы,75
Здания и сооружения,Подпорные стенки,67
МАФ,Памятники,63
Водопроницаемые покрытия,Гранитный отсев,58
МАФ,Тактильная плитка,56
Служебные элементы,Оси,53
Рельеф,Откосы,41
Водопроницаемые покрытия,Мульча,41
Служебные элементы,Нумерация,39
Водопроницаемые покрытия,Песок,35
Озеленение,Газонная решетка,34
Водные объекты,Неизвестно,31
Инженерные сети,Электроснабжение,31
Твердые покрытия,Бетон,28
Твердые покрытия,Брусчатка,28
МАФ,Флагштоки,28
Сохраняемые покрытия,Неизвестно,25
Служебные элементы,Зоны Прочее,24
Инженерные сети,Канализация бытовая,23
Водопроницаемые покрытия,Каменный ковер,22
Водопроницаемые покрытия,Щебень,21
Водопроницаемые покрытия,Галька,17
Рельеф,Отскос,17
Водопроницаемые покрытия,Грунт,16
МАФ,Вазоны,16
Озеленение,Выноски,15
Водопроницаемые покрытия,Щепа,15
Твердые покрытия,Дорожка из плит,14
Водопроницаемые покрытия,Гравий,13
Элементы благоустройства,Металлические настилы,13
Здания и сооружения,Мосты,13
МАФ,Прочее,13
Здания и сооружения,Пирс,11
Инженерные сети,Водопровод,11
Служебные элементы,Зоны ОКН,11
Инженерные сети,ЛЭП,8
МАФ,Ворота,8
Инженерные сети,Теплосеть,8
Рельеф,Горизонтали,8
Элементы благоустройства,Тактильная плитка,8
МАФ,Калитка,7
Инженерные сети,Газоснабжение,6
Служебные элементы,Зоны СЗЗ,6
Твердые покрытия,Камень,6
Водопроницаемые покрытия,Геомат,5
Водопроницаемые покрытия,ПГС,4
Твердые покрытия,Архитектурный бетон,4
Водопроницаемые покрытия,Газон искусственный,4
Служебные элементы,Динамические блоки,4
Твердые покрытия,Гранит,4
Водопроницаемые покрытия,Дренажная призма,4
Инженерные сети,Сети связи,3
Водопроницаемые покрытия,ОПГС,3
Служебные элементы,Красные линии,3
МАФ,ИДН,3
МАФ,Шлагбаумы,2
Твердые покрытия,Кирпич,2
МАФ,Памятник,2
МАФ,Дорожные знаки,2
Твердые покрытия,Дорожка из бруса,2
Здания и сооружения,Подземные,1
Инженерные сети,Кабель Связи,1
Элементы благоустройства,ЖД пути,1
Инженерные сети,Прочие трубопроводы,1
Инженерные сети,Красные линии,1
МАФ,Выноски,1
