domain,label,Source_File,Type,Layer,Text,true,pred
Moscow,l2,output(1)_3_ДЖКХпр-23_02382tp.dxf,TEXT,Номер дома,1А,no_l2,Отметки высот
Moscow,l2,output(1)_3_ДЖКХпр-23_02382tp.dxf,TEXT,Номер дома,31/22,no_l2,Отметки высот
Moscow,l2,output(1)_3_ДЖКХпр-23_02382tp.dxf,TEXT,Номер дома,31/22,no_l2,Отметки высот
Moscow,l2,output(1)_3_ДЖКХпр-23_02382tp.dxf,TEXT,Номер дома,58С.17,no_l2,Отметки высот
Moscow,l2,output(1)_3_ДЖКХпр-23_02382tp.dxf,TEXT,Номер дома,31/22,no_l2,Отметки высот
Moscow,l2,output(1)_3_ДЖКХпр-23_02382tp.dxf,TEXT,Номер дома,25/33,no_l2,Отметки высот
Moscow,l2,output(1)_3_ДЖКХпр-23_02382tp.dxf,TEXT,Номер дома,25/33,no_l2,Отметки высот
Moscow,l2,output(1)_3_ДЖКХпр-23_02382tp.dxf,TEXT,Номер дома,25/33,no_l2,Отметки высот
Moscow,l2,output(1)_3_ДЖКХпр-23_02382tp.dxf,TEXT,Номер дома,31/22,no_l2,Отметки высот
Moscow,l2,output(1)_3_ДЖКХпр-24_00868tp.dxf,TEXT,Леса и газоны,ЛИПА  3,Газон,Деревья
Moscow,l2,output(1)_3_ДЖКХпр-24_00868tp.dxf,TEXT,Леса и газоны,РЯБИНА  4,Газон,Деревья
Moscow,l2,output(1)_3_ДЖКХпр-24_00868tp.dxf,TEXT,Леса и газоны,КЛЕН  3,Газон,Деревья
Moscow,l2,output(1)_3_ДКРпр-19_1_00083kl.dxf,TEXT,Красные линии,69.02,Координаты,Красная линия
Moscow,l2,output(1)_3_ДКРпр-19_1_00083kl.dxf,TEXT,Красные линии,95.11,Координаты,Красная линия
Moscow,l2,output(1)_3_ДКРпр-19_1_00083kl.dxf,TEXT,Красные линии,54.03,Координаты,Красная линия
Moscow,l2,output(1)_3_ДКРпр-19_1_00083kl.dxf,TEXT,Красные линии,36.01,Координаты,Красная линия
Moscow,l2,output(1)_3_ДКРпр-19_1_00083kl.dxf,TEXT,Красные линии,12.45,Координаты,Красная линия
Moscow,l2,output(1)_3_ДКРпр-19_1_00083kl.dxf,TEXT,Красные линии,45.32,Координаты,Красная линия
Moscow,l2,output(1)_3_ДКРпр-19_1_00083kl.dxf,TEXT,Красные линии,46.67,Координаты,Красная линия
Moscow,l2,output(1)_3_ДКРпр-19_1_00083kl.dxf,TEXT,Красные линии,163.58,Координаты,Красная линия
Moscow,l2,output(1-2)_3_ДЖКХпр-24_00875up.dxf,TEXT,Кабель электрический,183.48в.тр.,Электроснабжение,Горизонтали
Moscow,l2,output(1-2)_3_ДЖКХпр-24_00875up.dxf,TEXT,Кабель связи,184.24в.тр.,Сети связи,Горизонтали
Moscow,l2,output(1-2)_3_ДЖКХпр-24_00875up.dxf,TEXT,Кабель связи,183.79в.тр.,Сети связи,Горизонтали
Moscow,l2,output(1-2)_3_ДЖКХпр-24_00875up.dxf,TEXT,Кабель связи,185.27в.тр.,Сети связи,Горизонтали
Moscow,l2,output(1-2)_3_ДЖКХпр-24_00875up.dxf,TEXT,Кабель связи,184.79в.тр.,Сети связи,Горизонтали
Moscow,l2,output(1-2)_3_ДЖКХпр-24_00875up.dxf,TEXT,Кабель связи,185.63в.тр.,Сети связи,Горизонтали
Moscow,l2,output(1-2)_edge001(5).dxf,TEXT,0,проезд,Асфальт,no_l2
Moscow,l2,output(1-2)_edge002.dxf,TEXT,0,18.01.24,Координаты,no_l2
Moscow,l2,output(1-2)_edge002.dxf,TEXT,0,18.01.24,Координаты,no_l2
Moscow,l2,output(1-2)_edge002.dxf,TEXT,0,18.01.24,Координаты,no_l2
Moscow,l2,output(1-3)_3_3458ЖДС-21tp.dxf,TEXT,Железные дороги,164.50,Координаты,ЖД пути
Moscow,l2,output(1-3)_3_3458ЖДС-21tp.dxf,TEXT,Граница улицы,УЛИЦА                       ДВИНЦЕВ,Бортовой камень,Асфальт
Moscow,l2,output(1-3)_3_3458ЖДС-21tp.dxf,TEXT,Трубы,ТР,Прочие кабели,Прочие трубопроводы
Moscow,l2,output(1-3)_3_3458ЖДС-21tp.dxf,TEXT,Фонтаны,АРОЧ.П.,Инженерная инфраструктура,Координаты
Moscow,l2,output(1-3)_3_3458ЖДС-21tp.dxf,TEXT,Трубы,ТР,Прочие кабели,Прочие трубопроводы
Moscow,l2,output(1-3)_3_3458ЖДС-21tp.dxf,TEXT,Фонтаны,АРОЧ.П.,Инженерная инфраструктура,Координаты
Moscow,l2,output(1-3)_3_3458ЖДС-21tp.dxf,TEXT,Фонтаны,АРОЧ.П.,Инженерная инфраструктура,Координаты
Moscow,l2,output(1-3)_3_3458ЖДС-21tp.dxf,TEXT,Граница улицы,УЛИЦА                       ДВИНЦЕВ,Бортовой камень,Асфальт
Moscow,l2,output(1-3)_3_ДЖКХпр-24_00880up.dxf,TEXT,Общий коллектор,176.75,Координаты,Инженерная инфраструктура
Moscow,l2,output(1-3)_3_ДЖКХпр-24_00880up.dxf,TEXT,Общий коллектор,176.75,Координаты,Инженерная инфраструктура
Moscow,l2,output(1-3)_3_ДЖКХпр-24_00880up.dxf,TEXT,Водосток,178.23,Координаты,Ливневая канализация
Moscow,l2,output(1-3)_3_ДЖКХпр-24_00880up.dxf,TEXT,Водосток,178.23,Координаты,Ливневая канализация
