domain,label,Source_File,Type,Layer,Text,true,pred
Regions,l2,034-18-Ступино(1).dxf,TEXT,12492,ул.Пушкина,Асфальт,Текст
Regions,l2,034-18-Ступино(1).dxf,TEXT,12492,ул.Тимирязева,Асфальт,Текст
Regions,l2,034-18-Ступино(1).dxf,TEXT,00r,Инженерно-топографическая съмка,Текст,Инженерная инфраструктура
Regions,l2,034-18-Ступино(1).dxf,TEXT,0,Лавочки,Неизвестно,Уличная мебель
Regions,l2,034-18-Ступино(1).dxf,TEXT,0,Урны ,Неизвестно,Текст
Regions,l2,034-18-Ступино(1).dxf,TEXT,0,Условные обозначения,Неизвестно,Условные обозначения
Regions,l2,034-18-Ступино(1).dxf,TEXT,0,инвентаризации:,Неизвестно,Текст
Regions,l2,034-18-Ступино(1).dxf,TEXT,0,Деревья,Неизвестно,Текст
Regions,l2,034-18-Ступино(1).dxf,TEXT,0,Горка,Неизвестно,Спортивное оборудование
Regions,l2,034-18-Ступино(1).dxf,TEXT,0,Вазы для цветов,Неизвестно,Текст
Regions,l2,034-18-Ступино(1).dxf,IMAGE,00p,,Неизвестно,Текст
Regions,l2,034-18-Ступино(1).dxf,IMAGE,00p,,Неизвестно,Текст
Regions,l2,034-18-Ступино(1).dxf,TEXT,00r,ул.Темирязева,Асфальт,Текст
Regions,l2,034-18-Ступино(1).dxf,TEXT,00r,Условные обозначения,Текст,Условные обозначения
Regions,l2,034-18-Ступино(1).dxf,TEXT,00r,Теплотрасса,Текст,Теплосеть
Regions,l2,034-18-Ступино(1).dxf,TEXT,00r,Канализация,Текст,Канализация бытовая
Regions,l2,034-18-Ступино(1).dxf,TEXT,00r,Кабель связи,Текст,Сети связи
Regions,l2,034-18-Ступино(1).dxf,TEXT,00r,Водопровод,Текст,Водопровод
Regions,l2,034-18-Ступино(1).dxf,TEXT,00r,Газопровод,Текст,Газопровод
Regions,l2,034-18-Ступино(1).dxf,TEXT,00r,Границы земельных участков,Текст,Кадастр
Regions,l2,034-18-Ступино(1).dxf,TEXT,00r,Здания,Неизвестно,Текст
Regions,l2,034-18-Ступино(1).dxf,TEXT,00r,Подземные коммуникации,Текст,Инженерная инфраструктура
Regions,l2,06-2023-ИГДИ-парк Стрельбицкого.dxf,TEXT,Высоты,171,Текст,Отметки высот
Regions,l2,06-2023-ИГДИ-парк Стрельбицкого.dxf,TEXT,Высоты,168,Текст,Отметки высот
Regions,l2,06-2023-ИГДИ-парк Стрельбицкого.dxf,TEXT,Высоты,168,Текст,Отметки высот
Regions,l2,06-2023-ИГДИ-парк Стрельбицкого.dxf,TEXT,Высоты,168,Текст,Отметки высот
Regions,l2,06-2023-ИГДИ-парк Стрельбицкого.dxf,TEXT,МАФ,Грибок,Неизвестно,Текст
Regions,l2,06-2023-ИГДИ-парк Стрельбицкого.dxf,TEXT,Высоты,168,Текст,Отметки высот
Regions,l2,06-2023-ИГДИ-парк Стрельбицкого.dxf,TEXT,Высоты,170,Текст,Отметки высот
Regions,l2,06-2023-ИГДИ-парк Стрельбицкого.dxf,TEXT,Высоты,171,Текст,Отметки высот
Regions,l2,06-2023-ИГДИ-парк Стрельбицкого.dxf,TEXT,Высоты,170,Текст,Отметки высот
Regions,l2,06-2023-ИГДИ-парк Стрельбицкого.dxf,TEXT,Высоты,168,Текст,Отметки высот
Regions,l2,06-2023-ИГДИ-парк Стрельбицкого.dxf,MTEXT,0,"Детский сад {\fArial|b0|i0|c204|p34;№} 45 ""Колосок""",Неизвестно,Текст
Regions,l2,06-2023-ИГДИ-парк Стрельбицкого.dxf,TEXT,МАФ,Детские качели,Неизвестно,Спортивное оборудование
Regions,l2,06-2023-ИГДИ-парк Стрельбицкого.dxf,TEXT,Высоты,170,Текст,Отметки высот
Regions,l2,06-2023-ИГДИ-парк Стрельбицкого.dxf,TEXT,Высоты,170,Текст,Отметки высот
Regions,l2,06-2023-ИГДИ-парк Стрельбицкого.dxf,TEXT,Высоты,170,Текст,Отметки высот
Regions,l2,06-2023-ИГДИ-парк Стрельбицкого.dxf,TEXT,0,храм,Неизвестно,Текст
