class,precision,recall,f1,support
Водные объекты,0.7188,1.0,0.8364,46
Элементы благоустройства,0.8371,0.9621,0.8953,422
Горизонтали,0.9019,0.9281,0.9148,1516
Рельеф,0.971,0.971,0.971,69
Здания и сооружения,0.9984,0.9459,0.9714,665
Неизвестно,0.9602,0.9871,0.9735,3422
Озеленение,0.9891,0.9753,0.9821,4004
Водопроницаемые покрытия,0.9813,0.9962,0.9887,264
Инженерные сети,0.9943,0.9947,0.9945,4944
Служебные элементы,0.9978,0.9952,0.9965,52803
Твердые покрытия,0.9961,0.9972,0.9966,1789
МАФ,1.0,1.0,1.0,170
