class,precision,recall,f1,support
Размеры,0.0,0.0,0.0,29
Щебень,0.0233,1.0,0.0455,1
Бетон,0.3333,1.0,0.5,13
Деревья,0.5227,0.8214,0.6389,28
Спортивное оборудование,0.5208,1.0,0.6849,25
Песок,0.5625,1.0,0.72,9
Плитка,0.6528,0.9592,0.7769,49
Прочие трубопроводы,0.7456,0.9618,0.84,131
Текст,0.9617,0.7758,0.8588,27905
Теплосеть,0.9686,0.8409,0.9002,220
Ливневая канализация,0.8335,1.0,0.9092,731
Инженерная инфраструктура,0.915,0.9363,0.9255,2528
Сети связи,0.8968,1.0,0.9456,339
Отметки высот,0.9324,0.9977,0.964,74337
Ограждение,0.9532,0.9824,0.9676,4209
Номер дерева,0.9414,0.9977,0.9687,40542
Водопровод,0.9545,0.9901,0.972,805
Дерево,0.9973,0.9536,0.9749,49125
Кадастр,0.9655,0.9859,0.9756,567
Асфальт,0.9961,0.9647,0.9801,2886
Неизвестно,0.9788,0.988,0.9834,163038
Уличная мебель,0.9683,1.0,0.9839,61
Электроснабжение,0.9989,0.9732,0.9859,3656
Координатные кресты,0.9741,0.9986,0.9862,8474
Газон,0.9892,0.984,0.9866,75602
Дренаж,0.9767,1.0,0.9882,42
Канализация бытовая,0.9869,0.9898,0.9883,1366
Грунт,0.9958,0.9811,0.9884,2171
Условные обозначения,0.9991,0.9783,0.9886,10695
Точки,1.0,0.98,0.9899,78031
Газопровод,0.982,1.0,0.9909,273
Штамп,0.989,1.0,0.9945,90
Электроснабжение ВН,0.9907,1.0,0.9953,107
Контуры,0.9959,0.9991,0.9975,4413
Прочие кабели,1.0,0.9969,0.9984,644
Горизонтали,1.0,1.0,1.0,17520
Трамвайные пути,1.0,1.0,1.0,6
Бортовой камень,1.0,1.0,1.0,113
Электроснабжение НН,1.0,1.0,1.0,205
